X;sine;sine_err;noiseW;noiseW_err;noiseG;noiseG_err
8;0.0128723;2.30862e-06;0.0128286;4.30623e-06;0.012965;2.35456e-06
16;0.0255749;5.36129e-06;0.0257528;5.18645e-06;0.0256522;5.75899e-06
24;0.0387529;1.17132e-05;0.0389086;1.16811e-05;0.0385069;9.59463e-06
32;0.051881;0.00072426;0.0511245;1.68386e-05;0.0516724;1.52016e-05
40;0.0623295;0.00852775;0.0633229;0.00480521;0.0637295;0.00483545
48;0.0752063;0.00570392;0.0764968;0.00580248;0.0752;0.00570311
56;0.0885431;0.00671505;0.0889066;0.00674125;0.0886204;0.00671857
64;0.0993477;0.011385;0.100345;0.0115012;0.0996013;0.0114134
72;0.113227;0.0129803;0.112459;0.0128887;0.113666;0.0130267
80;0.125394;0.0143693;0.125897;0.0144272;0.125822;0.0144182
88;0.13504;0.018447;0.135531;0.0185111;0.138491;0.0159353
96;0.10171;0.00575994;0.102367;0.00580085;0.101359;0.00574293
104;0.109274;0.00996881;0.110364;0.00684261;0.108914;0.00993542
112;0.1169;0.0106622;0.118891;0.0108432;0.118524;0.0108113
120;0.12519;0.0114177;0.126464;0.0115351;0.12525;0.0114245
